repeat,pair,classifier_group,tau,equivalent_tau_paths,cumulative_return,annualized_return,sharpe,calmar,max_drawdown,component_cumulative_return,component_sharpe,component_calmar,component_max_drawdown,stronger_component,delta_sharpe,beats_stronger_component
28,a2c_ppo,2,0.33,1,0.16275745454184465,0.16275745454184465,0.6616900773862354,0.6987997810998735,-0.23290999645946242,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,0.07397001794778035,True
29,a2c_ppo,2,0.33,1,0.16275745454184465,0.16275745454184465,0.6616900773862354,0.6987997810998735,-0.23290999645946242,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,0.07397001794778035,True
0,a2c_ppo,3,0.28,69,0.022810005257698496,0.022810005257698496,0.23889000361640084,0.07193020913140569,-0.3171130118088221,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.34883005582205423,False
1,a2c_ppo,3,0.28,1,0.01666949994148692,0.01666949994148692,0.22170038234948555,0.05256643316653452,-0.3171130118088221,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.36601967708896954,False
2,a2c_ppo,3,0.28,62,0.030783797711071426,0.030783797711071426,0.2611299216985483,0.09707516426235467,-0.3171130118088221,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.32659013773990675,False
3,a2c_ppo,3,0.28,69,0.030783797711071426,0.030783797711071426,0.2611299216985483,0.09707516426235467,-0.3171130118088221,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.32659013773990675,False
4,a2c_ppo,3,0.28,69,0.08650374634822122,0.08650374634822122,0.4118211890363585,0.27278523153244727,-0.3171130118088221,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.17589887040209656,False
5,a2c_ppo,3,0.28,89,0.030783797711071426,0.030783797711071426,0.2611299216985483,0.09707516426235467,-0.3171130118088221,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.32659013773990675,False
6,a2c_ppo,3,0.28,1,0.04214201178368038,0.04214201178368038,0.2939754447007556,0.13289272345937833,-0.3171130118088221,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.29374461473769947,False
7,a2c_ppo,3,0.28,69,0.030783797711071426,0.030783797711071426,0.2611299216985483,0.09707516426235467,-0.3171130118088221,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.32659013773990675,False
8,a2c_ppo,3,0.28,69,0.030783797711071426,0.030783797711071426,0.2611299216985483,0.09707516426235467,-0.3171130118088221,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.32659013773990675,False
9,a2c_ppo,3,0.28,1,0.10551105009888517,0.10551105009888517,0.4590929950844687,0.33272381192133044,-0.3171130118088221,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.12862706435398635,False
10,a2c_ppo,3,0.28,69,0.09377255848630561,0.09377255848630561,0.4310663709443638,0.29570706654837065,-0.3171130118088221,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.15665368849409128,False
11,a2c_ppo,3,0.28,1,0.04214201178368038,0.04214201178368038,0.2939754447007556,0.13289272345937833,-0.3171130118088221,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.29374461473769947,False
12,a2c_ppo,3,0.28,62,0.10859151487543928,0.10859151487543928,0.46694572696889103,0.34243790330781454,-0.3171130118088221,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.12077433246956404,False
13,a2c_ppo,3,0.28,69,0.030783797711071426,0.030783797711071426,0.2611299216985483,0.09707516426235467,-0.3171130118088221,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.32659013773990675,False
14,a2c_ppo,3,0.28,69,0.030783797711071426,0.030783797711071426,0.2611299216985483,0.09707516426235467,-0.3171130118088221,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.32659013773990675,False
