repeat,model,cumulative_return,annualized_return,sharpe,calmar,max_drawdown
18,a2c,0.030783797711071426,0.030783797711071426,0.2611299216985484,0.09707516426235471,-0.317113011808822
18,ppo,0.13246629679556787,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456
18,sac,0.03044161039736526,0.03044161039736526,0.2810289911393602,0.0788833953074837,-0.38590644176388855
19,a2c,0.030783797711071426,0.030783797711071426,0.2611299216985484,0.09707516426235471,-0.317113011808822
19,ppo,0.13246629679556787,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456
19,sac,0.03044161039736526,0.03044161039736526,0.2810289911393602,0.0788833953074837,-0.38590644176388855
20,a2c,0.030783797711071426,0.030783797711071426,0.2611299216985484,0.09707516426235471,-0.317113011808822
20,ppo,0.13246629679556787,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456
20,sac,0.03044161039736526,0.03044161039736526,0.2810289911393602,0.0788833953074837,-0.38590644176388855
21,a2c,0.030783797711071426,0.030783797711071426,0.2611299216985484,0.09707516426235471,-0.317113011808822
21,ppo,0.13246629679556787,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456
21,sac,0.03044161039736526,0.03044161039736526,0.2810289911393602,0.0788833953074837,-0.38590644176388855
22,a2c,0.030783797711071426,0.030783797711071426,0.2611299216985484,0.09707516426235471,-0.317113011808822
22,ppo,0.13246629679556787,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456
22,sac,0.03044161039736526,0.03044161039736526,0.2810289911393602,0.0788833953074837,-0.38590644176388855
23,a2c,0.030783797711071426,0.030783797711071426,0.2611299216985484,0.09707516426235471,-0.317113011808822
23,ppo,0.13246629679556787,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456
23,sac,0.03044161039736526,0.03044161039736526,0.2810289911393602,0.0788833953074837,-0.38590644176388855
24,a2c,0.030783797711071426,0.030783797711071426,0.2611299216985484,0.09707516426235471,-0.317113011808822
24,ppo,0.13246629679556787,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456
24,sac,0.03044161039736526,0.03044161039736526,0.2810289911393602,0.0788833953074837,-0.38590644176388855
25,a2c,0.030783797711071426,0.030783797711071426,0.2611299216985484,0.09707516426235471,-0.317113011808822
25,ppo,0.13246629679556787,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456
25,sac,0.03044161039736526,0.03044161039736526,0.2810289911393602,0.0788833953074837,-0.38590644176388855
26,a2c,0.030783797711071426,0.030783797711071426,0.2611299216985484,0.09707516426235471,-0.317113011808822
26,ppo,0.13246629679556787,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456
26,sac,0.03044161039736526,0.03044161039736526,0.2810289911393602,0.0788833953074837,-0.38590644176388855
