date,pair,strategy,metric,mean,sd,ci_low,ci_high,range_low,range_high
2020-10-07,a2c_ppo,a2c,max_drawdown,-0.05456954559554986,3.528758033802313e-17,-0.05456954559554988,-0.05456954559554985,-0.05456954559554983,-0.05456954559554983
2020-10-08,a2c_ppo,a2c,max_drawdown,-0.049439367130688895,3.528758033802313e-17,-0.04943936713068891,-0.04943936713068888,-0.04943936713068886,-0.04943936713068886
2020-10-09,a2c_ppo,a2c,max_drawdown,-0.03950580030027851,7.057516067604627e-18,-0.03950580030027851,-0.03950580030027851,-0.039505800300278504,-0.039505800300278504
2020-10-12,a2c_ppo,a2c,max_drawdown,-0.0342384792788083,0.0,-0.0342384792788083,-0.0342384792788083,-0.0342384792788083,-0.0342384792788083
2020-10-13,a2c_ppo,a2c,max_drawdown,-0.03677968716353597,0.0,-0.03677968716353597,-0.03677968716353597,-0.03677968716353597,-0.03677968716353597
2020-10-14,a2c_ppo,a2c,max_drawdown,-0.04588603705027672,0.0,-0.04588603705027672,-0.04588603705027672,-0.04588603705027672,-0.04588603705027672
2020-10-15,a2c_ppo,a2c,max_drawdown,-0.05379694095564913,0.0,-0.05379694095564913,-0.05379694095564913,-0.05379694095564913,-0.05379694095564913
2020-10-16,a2c_ppo,a2c,max_drawdown,-0.04972400072831906,0.0,-0.04972400072831906,-0.04972400072831906,-0.04972400072831906,-0.04972400072831906
2020-10-19,a2c_ppo,a2c,max_drawdown,-0.06345870095628259,0.0,-0.06345870095628259,-0.06345870095628259,-0.06345870095628259,-0.06345870095628259
2020-10-20,a2c_ppo,a2c,max_drawdown,-0.060531315144569664,0.0,-0.060531315144569664,-0.060531315144569664,-0.060531315144569664,-0.060531315144569664
2020-10-21,a2c_ppo,a2c,max_drawdown,-0.06445784175958919,5.646012854083702e-17,-0.06445784175958921,-0.06445784175958916,-0.06445784175958924,-0.06445784175958924
2020-10-22,a2c_ppo,a2c,max_drawdown,-0.06872832604171886,0.0,-0.06872832604171886,-0.06872832604171886,-0.06872832604171886,-0.06872832604171886
2020-10-23,a2c_ppo,a2c,max_drawdown,-0.07114813752335625,0.0,-0.07114813752335625,-0.07114813752335625,-0.07114813752335625,-0.07114813752335625
2020-10-26,a2c_ppo,a2c,max_drawdown,-0.09597707228452057,0.0,-0.09597707228452057,-0.09597707228452057,-0.09597707228452057,-0.09597707228452057
2020-10-27,a2c_ppo,a2c,max_drawdown,-0.08684928289211609,4.2345096405627763e-17,-0.0868492828921161,-0.08684928289211608,-0.08684928289211613,-0.08684928289211613
2020-10-28,a2c_ppo,a2c,max_drawdown,-0.12141209317578558,8.469019281125553e-17,-0.12141209317578561,-0.12141209317578555,-0.1214120931757855,-0.1214120931757855
2020-10-29,a2c_ppo,a2c,max_drawdown,-0.1225507131875173,9.880522494646477e-17,-0.12255071318751734,-0.12255071318751726,-0.1225507131875172,-0.1225507131875172
2020-10-30,a2c_ppo,a2c,max_drawdown,-0.13317894149217582,8.469019281125553e-17,-0.13317894149217585,-0.1331789414921758,-0.1331789414921759,-0.1331789414921759
2020-11-02,a2c_ppo,a2c,max_drawdown,-0.12424885667339858,0.0,-0.12424885667339858,-0.12424885667339858,-0.12424885667339858,-0.12424885667339858
2020-11-03,a2c_ppo,a2c,max_drawdown,-0.10783583192861619,7.057516067604627e-17,-0.10783583192861622,-0.10783583192861616,-0.10783583192861612,-0.10783583192861612
2020-11-04,a2c_ppo,a2c,max_drawdown,-0.0796498231184053,0.0,-0.0796498231184053,-0.0796498231184053,-0.0796498231184053,-0.0796498231184053
2020-11-05,a2c_ppo,a2c,max_drawdown,-0.059627060963398204,0.0,-0.059627060963398204,-0.059627060963398204,-0.059627060963398204,-0.059627060963398204
2020-11-06,a2c_ppo,a2c,max_drawdown,-0.059429587384467845,4.940261247323239e-17,-0.059429587384467866,-0.059429587384467825,-0.0594295873844678,-0.0594295873844678
2020-11-09,a2c_ppo,a2c,max_drawdown,-0.061283406439091914,0.0,-0.061283406439091914,-0.061283406439091914,-0.061283406439091914,-0.061283406439091914
2020-11-10,a2c_ppo,a2c,max_drawdown,-0.07373253437153643,5.646012854083702e-17,-0.07373253437153646,-0.0737325343715364,-0.07373253437153637,-0.07373253437153637
2020-11-11,a2c_ppo,a2c,max_drawdown,-0.060089936833105595,0.0,-0.060089936833105595,-0.060089936833105595,-0.060089936833105595,-0.060089936833105595
2020-11-12,a2c_ppo,a2c,max_drawdown,-0.07501771364313402,1.4115032135209254e-17,-0.07501771364313402,-0.07501771364313402,-0.07501771364313403,-0.07501771364313403
2020-11-13,a2c_ppo,a2c,max_drawdown,-0.06986434938167463,0.0,-0.06986434938167463,-0.06986434938167463,-0.06986434938167463,-0.06986434938167463
2020-11-16,a2c_ppo,a2c,max_drawdown,-0.06199830118239686,4.940261247323239e-17,-0.06199830118239688,-0.06199830118239684,-0.06199830118239691,-0.06199830118239691
2020-11-17,a2c_ppo,a2c,max_drawdown,-0.05763038886061896,3.528758033802313e-17,-0.05763038886061898,-0.05763038886061895,-0.057630388860619,-0.057630388860619
2020-11-18,a2c_ppo,a2c,max_drawdown,-0.06194977267053498,4.940261247323239e-17,-0.061949772670535,-0.06194977267053496,-0.06194977267053503,-0.06194977267053503
2020-11-19,a2c_ppo,a2c,max_drawdown,-0.04726491522886276,2.1172548202813882e-17,-0.04726491522886277,-0.04726491522886275,-0.04726491522886278,-0.04726491522886278
2020-11-20,a2c_ppo,a2c,max_drawdown,-0.060117872803767014,0.0,-0.060117872803767014,-0.060117872803767014,-0.060117872803767014,-0.060117872803767014
2020-11-23,a2c_ppo,a2c,max_drawdown,-0.05607369094875462,3.528758033802313e-17,-0.05607369094875463,-0.056073690948754605,-0.056073690948754584,-0.056073690948754584
2020-11-24,a2c_ppo,a2c,max_drawdown,-0.04481268313460971,2.1172548202813882e-17,-0.04481268313460972,-0.044812683134609704,-0.04481268313460973,-0.04481268313460973
2020-11-25,a2c_ppo,a2c,max_drawdown,-0.06808625492089432,5.646012854083702e-17,-0.06808625492089435,-0.06808625492089429,-0.06808625492089437,-0.06808625492089437
2020-11-27,a2c_ppo,a2c,max_drawdown,-0.06459662161133584,0.0,-0.06459662161133584,-0.06459662161133584,-0.06459662161133584,-0.06459662161133584
2020-11-30,a2c_ppo,a2c,max_drawdown,-0.06794485955693347,5.646012854083702e-17,-0.0679448595569335,-0.06794485955693344,-0.06794485955693352,-0.06794485955693352
