repeat,pair,classifier_group,tau,equivalent_tau_paths,cumulative_return,annualized_return,sharpe,calmar,max_drawdown,component_cumulative_return,component_sharpe,component_calmar,component_max_drawdown,stronger_component,delta_sharpe,beats_stronger_component
28,a2c_ppo,2,0.23,1,0.6381354425900001,0.8236756142938033,2.4574136423759194,4.110758346347745,-0.20037072114093213,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.6160840926643516,True
29,a2c_ppo,2,0.23,1,0.6381354425900001,0.8236756142938033,2.4574136423759194,4.110758346347745,-0.20037072114093213,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.6160840926643516,True
0,a2c_ppo,3,0.29,4,0.60499624064,0.7788621096896096,2.307401738352747,4.189270700797684,-0.18591830543232868,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.46607218864117916,True
1,a2c_ppo,3,0.29,1,0.29885219845000077,0.37482250431514474,1.296115840788184,1.4990643377885635,-0.25003763672217505,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,-0.5452137089233837,False
2,a2c_ppo,3,0.29,61,0.07537001903000085,0.09249219421966881,0.4688067135646787,0.3601137130466464,-0.2568416332640131,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,-1.372522836146889,False
3,a2c_ppo,3,0.29,4,0.30043081351000067,0.3768569714912744,1.2881167329115948,1.5072009815466798,-0.25003763672217505,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,-0.553212816799973,False
4,a2c_ppo,3,0.29,1,0.5422101654300016,0.6945107785207771,2.1185540772610234,3.735569646602486,-0.18591830543232868,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.2772245275494556,True
5,a2c_ppo,3,0.29,4,0.60499624064,0.7788621096896096,2.307401738352747,4.189270700797684,-0.18591830543232868,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.46607218864117916,True
6,a2c_ppo,3,0.29,1,0.6132982692100009,0.790070066918451,2.3486265800380313,4.249555013322903,-0.18591830543232868,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.5072970303264634,True
7,a2c_ppo,3,0.29,1,0.6132982692100009,0.790070066918451,2.3486265800380313,4.249555013322903,-0.18591830543232868,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.5072970303264634,True
8,a2c_ppo,3,0.29,4,0.60499624064,0.7788621096896096,2.307401738352747,4.189270700797684,-0.18591830543232868,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.46607218864117916,True
9,a2c_ppo,3,0.29,1,0.2852791626700004,0.35735225302278284,1.2260873438822726,1.36006731659583,-0.2627460043060331,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,-0.6152422058292952,False
10,a2c_ppo,3,0.29,1,0.29885219845000077,0.37482250431514474,1.296115840788184,1.4990643377885635,-0.25003763672217505,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,-0.5452137089233837,False
11,a2c_ppo,3,0.29,4,0.3037764734000008,0.38117052223455095,1.293522808883065,1.5444775300758442,-0.24679577061625035,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,-0.5478067408285028,False
12,a2c_ppo,3,0.29,4,0.30043081351000067,0.3768569714912744,1.2881167329115948,1.5072009815466798,-0.25003763672217505,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,-0.553212816799973,False
13,a2c_ppo,3,0.29,1,0.2916852119500004,0.36559269461666855,1.2535783456681722,1.4234167956752863,-0.2568416332640131,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,-0.5877512040433956,False
14,a2c_ppo,3,0.29,4,0.60499624064,0.7788621096896096,2.307401738352747,4.189270700797684,-0.18591830543232868,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.46607218864117916,True
15,a2c_ppo,3,0.29,1,0.34240898089000016,0.43115246558664055,1.4452186184700573,1.6786704714007543,-0.2568416332640131,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,-0.39611093124151053,False
16,a2c_ppo,3,0.29,4,0.60499624064,0.7788621096896096,2.307401738352747,4.189270700797684,-0.18591830543232868,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.46607218864117916,True
17,a2c_ppo,3,0.29,1,0.33547929604000015,0.42216368761678336,1.4151713156573982,1.6067368511723157,-0.2627460043060331,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,-0.42615823405416964,False
18,a2c_ppo,3,0.29,1,0.6132982692100009,0.790070066918451,2.3486265800380313,4.249555013322903,-0.18591830543232868,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.5072970303264634,True
19,a2c_ppo,3,0.29,1,0.35003016679000054,0.44104987022591735,1.4929296852298268,1.7639339261392164,-0.25003763672217505,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,-0.348399864481741,False
20,a2c_ppo,3,0.29,1,0.08372546551000104,0.1028347092929005,0.5090646255536909,0.4112769207107948,-0.25003763672217505,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,-1.3322649241578768,False
21,a2c_ppo,3,0.29,67,0.3442422753200003,0.43353219680886834,1.4354777541580075,1.687935835399517,-0.2568416332640131,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,-0.4058517955535603,False
22,a2c_ppo,3,0.29,66,0.29340897560000023,0.3678115826145625,1.2468335976792535,1.4320559246579816,-0.2568416332640131,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,-0.5944959520323143,False
23,a2c_ppo,3,0.29,4,0.5346799740400003,0.68444363790336,2.080628654783847,3.6814214518133435,-0.18591830543232868,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.23929910507227925,True
24,a2c_ppo,3,0.29,67,0.2873318152900002,0.3599917192344624,1.2204489120372486,1.3701130115575895,-0.2627460043060331,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,-0.6208806376743192,False
25,a2c_ppo,3,0.29,4,0.5346799740400003,0.68444363790336,2.080628654783847,3.6814214518133435,-0.18591830543232868,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.23929910507227925,True
26,a2c_ppo,3,0.29,4,0.60499624064,0.7788621096896096,2.307401738352747,4.189270700797684,-0.18591830543232868,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.46607218864117916,True
27,a2c_ppo,3,0.29,1,0.29885219845000077,0.37482250431514474,1.296115840788184,1.4990643377885635,-0.25003763672217505,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,-0.5452137089233837,False
28,a2c_ppo,3,0.29,1,0.33547929604000015,0.42216368761678336,1.4151713156573982,1.6067368511723157,-0.2627460043060331,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,-0.42615823405416964,False
29,a2c_ppo,3,0.29,4,0.30043081351000067,0.3768569714912744,1.2881167329115948,1.5072009815466798,-0.25003763672217505,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,-0.553212816799973,False
0,a2c_ppo,4,0.4,1,0.580423356130001,0.7457620823558802,2.1987750160829647,4.053260691733422,-0.1839906532231823,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.35744546637139685,True
1,a2c_ppo,4,0.4,1,0.580423356130001,0.7457620823558802,2.1987750160829647,4.053260691733422,-0.1839906532231823,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.35744546637139685,True
2,a2c_ppo,4,0.4,1,0.580423356130001,0.7457620823558802,2.1987750160829647,4.053260691733422,-0.1839906532231823,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.35744546637139685,True
3,a2c_ppo,4,0.4,1,0.580423356130001,0.7457620823558802,2.1987750160829647,4.053260691733422,-0.1839906532231823,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.35744546637139685,True
4,a2c_ppo,4,0.4,1,0.580423356130001,0.7457620823558802,2.1987750160829647,4.053260691733422,-0.1839906532231823,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.35744546637139685,True
5,a2c_ppo,4,0.4,1,0.580423356130001,0.7457620823558802,2.1987750160829647,4.053260691733422,-0.1839906532231823,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.35744546637139685,True
6,a2c_ppo,4,0.4,1,0.580423356130001,0.7457620823558802,2.1987750160829647,4.053260691733422,-0.1839906532231823,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.35744546637139685,True
