date,pair,strategy,metric,mean,sd,ci_low,ci_high,range_low,range_high
2019-10-29,a2c_sac,a2c,sharpe,,,,,,
2019-10-30,a2c_sac,a2c,sharpe,,,,,,
2019-10-31,a2c_sac,a2c,sharpe,,,,,,
2019-11-01,a2c_sac,a2c,sharpe,,,,,,
2019-11-04,a2c_sac,a2c,sharpe,,,,,,
2019-11-05,a2c_sac,a2c,sharpe,,,,,,
2019-11-06,a2c_sac,a2c,sharpe,,,,,,
2019-11-07,a2c_sac,a2c,sharpe,,,,,,
2019-11-08,a2c_sac,a2c,sharpe,,,,,,
2019-11-11,a2c_sac,a2c,sharpe,,,,,,
2019-11-12,a2c_sac,a2c,sharpe,,,,,,
2019-11-13,a2c_sac,a2c,sharpe,,,,,,
2019-11-14,a2c_sac,a2c,sharpe,,,,,,
2019-11-15,a2c_sac,a2c,sharpe,,,,,,
2019-11-18,a2c_sac,a2c,sharpe,,,,,,
2019-11-19,a2c_sac,a2c,sharpe,,,,,,
2019-11-20,a2c_sac,a2c,sharpe,,,,,,
2019-11-21,a2c_sac,a2c,sharpe,,,,,,
2019-11-22,a2c_sac,a2c,sharpe,,,,,,
2019-11-25,a2c_sac,a2c,sharpe,,,,,,
2019-11-26,a2c_sac,a2c,sharpe,,,,,,
2019-11-27,a2c_sac,a2c,sharpe,,,,,,
2019-11-28,a2c_sac,a2c,sharpe,,,,,,
2019-11-29,a2c_sac,a2c,sharpe,,,,,,
2019-12-02,a2c_sac,a2c,sharpe,,,,,,
2019-12-03,a2c_sac,a2c,sharpe,,,,,,
2019-12-04,a2c_sac,a2c,sharpe,,,,,,
2019-12-05,a2c_sac,a2c,sharpe,,,,,,
2019-12-06,a2c_sac,a2c,sharpe,,,,,,
2019-12-09,a2c_sac,a2c,sharpe,,,,,,
2019-12-10,a2c_sac,a2c,sharpe,,,,,,
2019-12-11,a2c_sac,a2c,sharpe,,,,,,
2019-12-12,a2c_sac,a2c,sharpe,,,,,,
2019-12-13,a2c_sac,a2c,sharpe,,,,,,
2019-12-16,a2c_sac,a2c,sharpe,,,,,,
2019-12-17,a2c_sac,a2c,sharpe,,,,,,
2019-12-18,a2c_sac,a2c,sharpe,,,,,,
2019-12-19,a2c_sac,a2c,sharpe,,,,,,
2019-12-20,a2c_sac,a2c,sharpe,,,,,,
2019-12-23,a2c_sac,a2c,sharpe,,,,,,
2019-12-24,a2c_sac,a2c,sharpe,,,,,,
2019-12-25,a2c_sac,a2c,sharpe,,,,,,
2019-12-26,a2c_sac,a2c,sharpe,,,,,,
2019-12-27,a2c_sac,a2c,sharpe,,,,,,
2019-12-30,a2c_sac,a2c,sharpe,,,,,,
2019-12-31,a2c_sac,a2c,sharpe,,,,,,
2020-01-02,a2c_sac,a2c,sharpe,,,,,,
2020-01-03,a2c_sac,a2c,sharpe,,,,,,
2020-01-06,a2c_sac,a2c,sharpe,,,,,,
2020-01-07,a2c_sac,a2c,sharpe,,,,,,
2020-01-08,a2c_sac,a2c,sharpe,,,,,,
2020-01-09,a2c_sac,a2c,sharpe,,,,,,
2020-01-10,a2c_sac,a2c,sharpe,,,,,,
2020-01-13,a2c_sac,a2c,sharpe,,,,,,
2020-01-14,a2c_sac,a2c,sharpe,,,,,,
2020-01-15,a2c_sac,a2c,sharpe,,,,,,
2020-01-16,a2c_sac,a2c,sharpe,,,,,,
2020-01-17,a2c_sac,a2c,sharpe,,,,,,
2020-01-20,a2c_sac,a2c,sharpe,,,,,,
2020-01-21,a2c_sac,a2c,sharpe,-1.36855546335862,2.2584051416334807e-16,-1.36855546335862,-1.36855546335862,-1.3685554633586203,-1.3685554633586203
2020-01-22,a2c_sac,a2c,sharpe,-1.3794497956992329,4.516810283266961e-16,-1.379449795699233,-1.3794497956992327,-1.3794497956992333,-1.3794497956992333
