repeat,pair,classifier_group,tau,equivalent_tau_paths,cumulative_return,annualized_return,sharpe,calmar,max_drawdown,stronger_model,stronger_sharpe,delta_sharpe
23,arima_lstm,4,0.3,1,0.6196292839100002,0.8089559116629983,1.8298083856270129,4.090642345370334,-0.19775767308978998,lstm,1.7657022236836781,0.06410616194333474
24,arima_lstm,4,0.3,1,0.6190332356899999,0.8081375936461472,1.820981494275664,4.084650592971529,-0.19784742299297575,lstm,1.7657022236836781,0.055279270591985785
25,arima_lstm,4,0.3,1,0.6232231895899998,0.813891467970455,1.8260865742123538,4.113732974926597,-0.19784742299297575,lstm,1.7657022236836781,0.060384350528675634
26,arima_lstm,4,0.3,1,0.6209401835599997,0.8107558961983223,1.8263711580697626,4.100547085433878,-0.19771895781378068,lstm,1.7657022236836781,0.06066893438608445
27,arima_lstm,4,0.3,1,0.6186991616500002,0.8076789716849144,1.8276174826264941,4.080946272543118,-0.19791463002564702,lstm,1.7657022236836781,0.06191525894281602
28,arima_lstm,4,0.3,1,0.6198479112100002,0.8092560836450169,1.8236026353750538,4.0929615075515695,-0.19771895781378068,lstm,1.7657022236836781,0.05790041169137572
29,arima_lstm,4,0.3,1,0.6170272166099999,0.8053840260504681,1.820625228099852,4.040470389105711,-0.1993292732009666,lstm,1.7657022236836781,0.054923004416173926
0,arima_lstm,5,0.31,1,0.5926364521400003,0.7719668434848239,1.7424475201618974,3.942196102701424,-0.19582152266748654,lstm,1.7657022236836781,-0.023254703521780717
1,arima_lstm,5,0.31,1,0.5932108405200005,0.7727524574914892,1.7458344071155396,3.9561307836283754,-0.19533036184985708,lstm,1.7657022236836781,-0.01986781656813852
2,arima_lstm,5,0.31,1,0.5883921291300003,0.7661637273648663,1.7348234680930326,3.912561382059344,-0.19582152266748654,lstm,1.7657022236836781,-0.030878755590645568
3,arima_lstm,5,0.31,1,0.5880910196100002,0.7657521656549948,1.7326570216196044,3.9056816407954074,-0.19606108128645283,lstm,1.7657022236836781,-0.03304520206407369
4,arima_lstm,5,0.31,1,0.5877741625800001,0.7653190992938734,1.729969564052561,3.9034728069040514,-0.19606108128645283,lstm,1.7657022236836781,-0.03573265963111716
5,arima_lstm,5,0.31,1,0.5847093645500001,0.7611312902227554,1.7274142998450535,3.882113090617475,-0.19606108128645283,lstm,1.7657022236836781,-0.03828792383862467
6,arima_lstm,5,0.31,1,0.5865557822300005,0.7636540547995321,1.7312286760141729,3.899459579722097,-0.19583586883953685,lstm,1.7657022236836781,-0.03447354766950528
7,arima_lstm,5,0.31,1,0.59924783936,0.7810134273315887,1.7524866422259706,3.960584914331731,-0.19719648592949535,lstm,1.7657022236836781,-0.013215581457707515
8,arima_lstm,5,0.31,1,0.5875085462600003,0.7649560817653565,1.7339816529886372,3.906108141977519,-0.19583586883953685,lstm,1.7657022236836781,-0.03172057069504097
9,arima_lstm,5,0.31,1,0.5917829990800005,0.770799661498552,1.726278456850619,3.791013080195328,-0.2033228704815857,lstm,1.7657022236836781,-0.03942376683305904
10,arima_lstm,5,0.31,1,0.5863531720800002,0.7633771952073942,1.7327451125888689,3.8886160396563207,-0.19631076645840873,lstm,1.7657022236836781,-0.032957111094809255
11,arima_lstm,5,0.31,1,0.5822767287599999,0.7578086033128706,1.7215667075550283,3.8426297793193953,-0.19721093283337154,lstm,1.7657022236836781,-0.044135516128649854
12,arima_lstm,5,0.31,1,0.5853210739200001,0.7619669954847605,1.7275482597222325,3.891129969296652,-0.19582152266748654,lstm,1.7657022236836781,-0.03815396396144566
13,arima_lstm,5,0.31,1,0.5866038941200005,0.7637197991837852,1.7321340083527448,3.900876970521804,-0.19578156526213786,lstm,1.7657022236836781,-0.03356821533093335
14,arima_lstm,5,0.31,1,0.5868370483900001,0.7640384084800287,1.7287208825577036,3.8725825725912526,-0.19729428466874221,lstm,1.7657022236836781,-0.03698134112597451
15,arima_lstm,5,0.31,1,0.5883921291300003,0.7661637273648663,1.7348234680930326,3.912561382059344,-0.19582152266748654,lstm,1.7657022236836781,-0.030878755590645568
16,arima_lstm,5,0.31,1,0.5868370483900001,0.7640384084800287,1.7287208825577036,3.8725825725912526,-0.19729428466874221,lstm,1.7657022236836781,-0.03698134112597451
17,arima_lstm,5,0.31,1,0.5877620771100001,0.7653025817931363,1.7320582921252512,3.8809138924856845,-0.19719648592949535,lstm,1.7657022236836781,-0.03364393155842693
