repeat,pair,classifier_group,tau,equivalent_tau_paths,cumulative_return,annualized_return,sharpe,calmar,max_drawdown,stronger_model,stronger_sharpe,delta_sharpe
24,arima_lstm,3,0.17,1,0.1572952291700005,0.1946381295019899,1.0222266602920043,1.3236449283860445,-0.1470470859124715,lstm,1.1265512944940834,-0.10432463420207916
25,arima_lstm,3,0.17,1,0.1568316579100011,0.19405559722145904,1.0198692944409173,1.3196833926853127,-0.1470470859124715,lstm,1.1265512944940834,-0.10668200005316608
26,arima_lstm,3,0.17,1,0.15432759495000048,0.19090982283420943,1.0043228635764796,1.2982904193548372,-0.1470470859124715,lstm,1.1265512944940834,-0.12222843091760383
27,arima_lstm,3,0.17,1,0.15473282377000097,0.19141879834829867,1.0069627011557423,1.3017517291178353,-0.1470470859124715,lstm,1.1265512944940834,-0.11958859333834115
28,arima_lstm,3,0.17,1,0.1568316579100011,0.19405559722145904,1.0198692944409173,1.3196833926853127,-0.1470470859124715,lstm,1.1265512944940834,-0.10668200005316608
29,arima_lstm,3,0.17,1,0.15432759495000048,0.19090982283420943,1.0043228635764796,1.2982904193548372,-0.1470470859124715,lstm,1.1265512944940834,-0.12222843091760383
0,arima_lstm,4,0.21,1,0.17429442197000133,0.21603453946682016,1.100693669359796,1.3821317429092896,-0.15630531646142698,lstm,1.1265512944940834,-0.025857625134287465
1,arima_lstm,4,0.21,1,0.17391459210000138,0.21555571872814117,1.0983539364758266,1.3785598311431744,-0.15636297667935894,lstm,1.1265512944940834,-0.028197358018256846
2,arima_lstm,4,0.21,1,0.17106710743000142,0.21196719875386827,1.0811201617880464,1.3556098972746755,-0.15636297667935894,lstm,1.1265512944940834,-0.04543113270603705
3,arima_lstm,4,0.21,1,0.17436380605000146,0.21612200999142006,1.0994005553377846,1.386151205135747,-0.1559151766349004,lstm,1.1265512944940834,-0.027150739156298842
4,arima_lstm,4,0.21,1,0.17391459210000138,0.21555571872814117,1.0983539364758266,1.3785598311431744,-0.15636297667935894,lstm,1.1265512944940834,-0.028197358018256846
5,arima_lstm,4,0.21,1,0.17385118533000132,0.21547579023127317,1.097952935422393,1.3779637963016735,-0.1563726063120019,lstm,1.1265512944940834,-0.028598359071690505
6,arima_lstm,4,0.21,1,0.17056331039000083,0.2113324898669371,1.0780365592355157,1.351550695407262,-0.15636297667935894,lstm,1.1265512944940834,-0.048514735258567754
7,arima_lstm,4,0.21,1,0.16726138946000124,0.20717403448778726,1.0576728964255078,1.3249558104321746,-0.15636297667935894,lstm,1.1265512944940834,-0.06887839806857565
8,arima_lstm,4,0.21,1,0.17839984050000135,0.22121205487319973,1.1198884363620505,1.414734226547897,-0.15636297667935894,lstm,1.1265512944940834,-0.006662858132032934
9,arima_lstm,4,0.21,1,0.1710037006600016,0.21188731244540104,1.0807203828066652,1.3550155455146258,-0.1563726063120019,lstm,1.1265512944940834,-0.04583091168741826
10,arima_lstm,4,0.21,1,0.1714469373000016,0.2124457668058901,1.0834540871914218,1.3591717263073229,-0.15630531646142698,lstm,1.1265512944940834,-0.043097207302661644
11,arima_lstm,4,0.21,1,0.1714469373000016,0.2124457668058901,1.0834540871914218,1.3591717263073229,-0.15630531646142698,lstm,1.1265512944940834,-0.043097207302661644
12,arima_lstm,4,0.21,1,0.1714469373000016,0.2124457668058901,1.0834540871914218,1.3591717263073229,-0.15630531646142698,lstm,1.1265512944940834,-0.043097207302661644
13,arima_lstm,4,0.21,1,0.17429442197000133,0.21603453946682016,1.100693669359796,1.3821317429092896,-0.15630531646142698,lstm,1.1265512944940834,-0.025857625134287465
14,arima_lstm,4,0.21,1,0.17391459210000138,0.21555571872814117,1.0983539364758266,1.3785598311431744,-0.15636297667935894,lstm,1.1265512944940834,-0.028197358018256846
15,arima_lstm,4,0.21,1,0.17480728119000188,0.21668111294935488,1.1020800929325794,1.3903357188456815,-0.15584805167003346,lstm,1.1265512944940834,-0.024471201561504063
16,arima_lstm,4,0.21,1,0.17106710743000142,0.21196719875386827,1.0811201617880464,1.3556098972746755,-0.15636297667935894,lstm,1.1265512944940834,-0.04543113270603705
17,arima_lstm,4,0.21,1,0.17429442197000133,0.21603453946682016,1.100693669359796,1.3821317429092896,-0.15630531646142698,lstm,1.1265512944940834,-0.025857625134287465
18,arima_lstm,4,0.21,1,0.17151058257000162,0.21252596019972736,1.083798163580031,1.3597687975426713,-0.15629565892657427,lstm,1.1265512944940834,-0.04275313091405253
19,arima_lstm,4,0.21,1,0.17429442197000133,0.21603453946682016,1.100693669359796,1.3821317429092896,-0.15630531646142698,lstm,1.1265512944940834,-0.025857625134287465
20,arima_lstm,4,0.21,1,0.17151058257000162,0.21252596019972736,1.083798163580031,1.3597687975426713,-0.15629565892657427,lstm,1.1265512944940834,-0.04275313091405253
21,arima_lstm,4,0.21,1,0.17429442197000133,0.21603453946682016,1.100693669359796,1.3821317429092896,-0.15630531646142698,lstm,1.1265512944940834,-0.025857625134287465
22,arima_lstm,4,0.21,1,0.17029126343000134,0.21098977609336678,1.0761885464186862,1.3400413480065978,-0.15745019838919772,lstm,1.1265512944940834,-0.0503627480753972
23,arima_lstm,4,0.21,1,0.17106710743000142,0.21196719875386827,1.0811201617880464,1.3556098972746755,-0.15636297667935894,lstm,1.1265512944940834,-0.04543113270603705
24,arima_lstm,4,0.21,1,0.17106710743000142,0.21196719875386827,1.0811201617880464,1.3556098972746755,-0.15636297667935894,lstm,1.1265512944940834,-0.04543113270603705
25,arima_lstm,4,0.21,1,0.17029126343000134,0.21098977609336678,1.0761885464186862,1.3400413480065978,-0.15745019838919772,lstm,1.1265512944940834,-0.0503627480753972
26,arima_lstm,4,0.21,1,0.17429442197000133,0.21603453946682016,1.100693669359796,1.3821317429092896,-0.15630531646142698,lstm,1.1265512944940834,-0.025857625134287465
27,arima_lstm,4,0.21,1,0.17009382842000154,0.21074106628622769,1.075289368765448,1.3477683193405658,-0.15636297667935894,lstm,1.1265512944940834,-0.05126192572863553
28,arima_lstm,4,0.21,1,0.1712542127000014,0.21220293851568917,1.080626271416468,1.361015284692877,-0.1559151766349004,lstm,1.1265512944940834,-0.04592502307761537
29,arima_lstm,4,0.21,1,0.17391459210000138,0.21555571872814117,1.0983539364758266,1.3785598311431744,-0.15636297667935894,lstm,1.1265512944940834,-0.028197358018256846
