pair,classifier_group,window,active_day_rate,actual_cumulative_return,actual_log_return,actual_volatility,block_winner_exposure_rate,daily_loss_vs_stronger_rate,daily_win_vs_stronger_rate,decision_days,fallback_cumulative_return,fallback_log_return,log_advantage_vs_fallback,log_advantage_vs_stronger,mean_actual_return,path_transition_drag,stronger_cumulative_return,stronger_exposure_rate,stronger_log_return,stronger_volatility,weaker_exposure_rate,pair_label,ideal_weaker_exposure
a2c_sac,3,1,0.16666666666666666,-0.22309289938969343,-0.2524344973966487,0.035685949231041736,1.0,0.4032258064516129,0.5967741935483871,62.0,-0.22309289938969343,-0.2524344973966487,0.0,0.10509890238410172,-0.003437077541151903,6.8467367192459605e-16,-0.30060066123195284,0.0,-0.3575333997807503,0.039892847815234174,1.0,A2C+SAC,1.0
a2c_sac,3,2,0.16666666666666666,0.1660984400264125,0.15366350977326348,0.017052430593288124,0.0,0.45161290322580644,0.5483870967741935,62.0,0.1660984400264125,0.15366350977326348,0.0,-0.009827744196656336,0.0026240047182519936,-1.2110538266663085e-16,0.1776150556856824,0.0,0.16349125396991981,0.02789705975867489,1.0,A2C+SAC,0.0
a2c_sac,3,3,0.2,0.1321791098980919,0.12361413255054063,0.015154266041808423,0.9075268817204302,0.4559139784946237,0.5440860215053763,62.0,0.13283401249661628,0.12425213771784165,-0.000638005167301026,0.08011183538808639,0.002107542816288479,2.5590949349618727e-05,0.04446239360906579,0.0924731182795699,0.04350229716245421,0.01398417612856337,0.9075268817204302,A2C+SAC,1.0
a2c_sac,3,4,0.13333333333333333,-0.03323540482191812,-0.03417620114488313,0.012821506978846257,0.04021164021164021,0.6296296296296297,0.37037037037037035,63.0,-0.03413880566258934,-0.035022745372950796,0.0008465442280676706,-0.17853227205015884,-0.00046084566991266265,-0.002257101534402626,0.15529540237546602,0.04021164021164021,0.14435607090527575,0.014925365361447644,0.9597883597883599,A2C+SAC,0.0
a2c_sac,4,1,0.0,-0.22309289938969343,-0.2524344973966487,0.035685949231041736,1.0,0.4032258064516129,0.5967741935483871,62.0,-0.22309289938969343,-0.2524344973966487,0.0,0.10509890238410172,-0.003437077541151903,6.8467367192459605e-16,-0.30060066123195284,0.0,-0.3575333997807503,0.039892847815234174,1.0,A2C+SAC,1.0
a2c_sac,4,2,0.9666666666666667,0.15652194109821346,0.14541599859007268,0.024717010494589332,0.9666666666666667,0.4827956989247312,0.5172043010752688,62.0,0.14555409639488143,0.13588296479345194,0.009533033796620759,-0.018075255379847135,0.0026497290744678633,-0.01774766390662526,0.1776150556856824,0.9666666666666667,0.16349125396991981,0.02789705975867489,0.03333333333333333,A2C+SAC,0.0
a2c_sac,4,3,0.9666666666666667,0.1499851789353342,0.13957149738576644,0.015638782550546224,0.9677419354838709,0.46881720430107526,0.5311827956989247,62.0,0.15006510565523482,0.13964844947258043,-7.695208681401108e-05,0.0960692002233122,0.0023721084653152867,0.008144956494759126,0.04446239360906579,0.03225806451612903,0.04350229716245421,0.01398417612856337,0.9677419354838709,A2C+SAC,1.0
a2c_sac,4,4,0.9666666666666667,0.10950836099064161,0.10356150497059351,0.012539605497064097,0.9666666666666667,0.5280423280423281,0.47195767195767196,63.0,0.08990176461047322,0.0858123752775444,0.017749129693049086,-0.040794565934682246,0.0017223435687126628,-0.03461283638108348,0.15529540237546602,0.9666666666666667,0.14435607090527575,0.014925365361447644,0.03333333333333333,A2C+SAC,0.0
a2c_sac,5,1,0.0,-0.22309289938969343,-0.2524344973966487,0.035685949231041736,1.0,0.4032258064516129,0.5967741935483871,62.0,-0.22309289938969343,-0.2524344973966487,0.0,0.10509890238410172,-0.003437077541151903,6.8467367192459605e-16,-0.30060066123195284,0.0,-0.3575333997807503,0.039892847815234174,1.0,A2C+SAC,1.0
a2c_sac,5,2,0.2,0.16411709542057823,0.15195712814915505,0.018638205745281477,0.2,0.45806451612903226,0.5419354838709677,62.0,0.16184788617161297,0.14998477632916454,0.001972351819990502,-0.011534125820764777,0.0026293269988483803,-0.0036719304634398055,0.1776150556856824,0.2,0.16349125396991981,0.02789705975867489,0.8,A2C+SAC,0.0
a2c_sac,5,3,0.36666666666666664,0.12593201974793974,0.11785760472181656,0.015072957439525362,0.8639784946236558,0.4618279569892473,0.5381720430107527,62.0,0.12762661513645587,0.11945922293024104,-0.0016016182084244704,0.07435530755936234,0.002013504134341736,-0.0023556241558082827,0.04446239360906579,0.13602150537634408,0.04350229716245421,0.01398417612856337,0.8639784946236558,A2C+SAC,1.0
a2c_sac,5,4,0.36666666666666664,0.01941264066931573,0.01632351884656268,0.012946549915864969,0.35820105820105824,0.5957671957671958,0.4042328042328042,63.0,0.011591790255301094,0.00928831704217134,0.007035201804391338,-0.12803255205871306,0.00034255329274781286,-0.0062108444311746065,0.15529540237546602,0.35820105820105824,0.14435607090527575,0.014925365361447644,0.6417989417989418,A2C+SAC,0.0
ppo_sac,1,1,0.5333333333333333,-0.21069330040965112,-0.23947871195527298,0.02903343544731481,0.746774193548387,0.2940860215053763,0.239247311827957,62.0,-0.20681977978249028,-0.23432532377649223,-0.005153388178780753,-0.07979220369019276,-0.0034209602479402784,-0.01292376599975203,-0.14758902912151203,0.746774193548387,-0.1596865082650802,0.023165464456432736,0.2532258064516129,PPO+SAC,0.0
ppo_sac,1,2,0.5333333333333333,0.16350602954397017,0.15134862160646625,0.020472891568128527,0.15,0.5215053763440861,0.478494623655914,62.0,0.16584089956629336,0.15332876997724515,-0.0019801483707789012,0.009683158722954412,0.002650442285304195,0.02044852797548674,0.1521911333566357,0.85,0.14166546288351184,0.019506024417798515,0.15,PPO+SAC,1.0
ppo_sac,1,3,0.5333333333333333,0.058959519614838626,0.05697526599138929,0.013383626682165457,0.5333333333333333,0.49032258064516127,0.5096774193548387,62.0,0.049871366938321705,0.04852205562451586,0.00845321036687343,-0.023427340955285966,0.001007805230340289,-0.006207196389316153,0.08372329438170678,0.5333333333333333,0.08040260694667527,0.014114448948392155,0.4666666666666667,PPO+SAC,0.0
