model,model_tag,timesteps,is_best,best_step_so_far,validation_samples,cumulative_return,sharpe,calmar,max_drawdown,window,train_start,train_end,calibration_start,calibration_end,calibration_source,annualized_return
ppo,rolling_w2_100000_seed42,20000,True,20000,62,-0.2531265811373676,-1.6742005726061957,-0.0108477878223883,-0.3676984010036461,2,2012-01-04,2019-12-31,2020-01-02,2020-04-01,previous_trade,
ppo,rolling_w2_100000_seed42,40000,False,20000,62,-0.2641617011417472,-1.7139667198074835,-0.0113485918869733,-0.3691779307069055,2,2012-01-04,2019-12-31,2020-01-02,2020-04-01,previous_trade,
ppo,rolling_w2_100000_seed42,60000,False,20000,62,-0.2728926747312471,-1.742612017679423,-0.0114596085679612,-0.3795365003527086,2,2012-01-04,2019-12-31,2020-01-02,2020-04-01,previous_trade,
ppo,rolling_w2_100000_seed42,80000,True,80000,62,-0.1484687723096733,-1.232854696886303,-0.0103398475344322,-0.2122307526775991,2,2012-01-04,2019-12-31,2020-01-02,2020-04-01,previous_trade,
ppo,rolling_w2_100000_seed42,100000,False,80000,62,-0.2218390498097728,-1.5148531336457285,-0.0111659235253339,-0.3050574101610622,2,2012-01-04,2019-12-31,2020-01-02,2020-04-01,previous_trade,
tqc,rolling_w2_100000_seed42,20000,True,20000,62,-0.2968951285086939,-1.985502815105062,-1.973368424104751,-0.3856872122627017,2,2012-01-04,2019-12-31,2020-01-02,2020-04-01,previous_trade,-0.7611029662602024
tqc,rolling_w2_100000_seed42,40000,False,20000,62,-0.4040849600053791,-2.31324191980696,-1.7101201127786596,-0.5134350357724886,2,2012-01-04,2019-12-31,2020-01-02,2020-04-01,previous_trade,-0.8780355812797633
tqc,rolling_w2_100000_seed42,60000,False,20000,62,-0.3348809898014068,-2.055350650761257,-1.8301205023141371,-0.4422542804749384,2,2012-01-04,2019-12-31,2020-01-02,2020-04-01,previous_trade,-0.8093786259333717
tqc,rolling_w2_100000_seed42,80000,True,80000,62,-0.2985262986325494,-1.787685031473487,-1.8815670849438464,-0.4056978109113457,2,2012-01-04,2019-12-31,2020-01-02,2020-04-01,previous_trade,-0.7633476474445606
tqc,rolling_w2_100000_seed42,100000,False,80000,62,-0.3375227533099442,-2.0083226470445643,-1.8395816566068512,-0.4416424149830433,2,2012-01-04,2019-12-31,2020-01-02,2020-04-01,previous_trade,-0.8124372853823574
ppo,rolling_w3_100000_seed42,20000,True,20000,62,0.0764989803883899,1.5256492969986166,0.0160873152531347,-0.0794537643229882,3,2012-01-04,2020-04-01,2020-04-02,2020-07-01,previous_trade,
ppo,rolling_w3_100000_seed42,40000,True,40000,62,0.1089356677495658,1.8560434088529447,0.0191579363848779,-0.0932239235216217,3,2012-01-04,2020-04-01,2020-04-02,2020-07-01,previous_trade,
ppo,rolling_w3_100000_seed42,60000,False,40000,62,0.1167759532055048,1.5450111203598949,0.0156213975752313,-0.1274964575328304,3,2012-01-04,2020-04-01,2020-04-02,2020-07-01,previous_trade,
ppo,rolling_w3_100000_seed42,80000,False,40000,62,0.1040186822535276,1.4261172182559332,0.0143623953514243,-0.1250962724415639,3,2012-01-04,2020-04-01,2020-04-02,2020-07-01,previous_trade,
ppo,rolling_w3_100000_seed42,100000,False,40000,62,0.0951028745817448,1.3391786830123555,0.0134503908142965,-0.1233489779285319,3,2012-01-04,2020-04-01,2020-04-02,2020-07-01,previous_trade,
tqc,rolling_w3_100000_seed42,20000,True,20000,62,0.1406697113635753,1.6617619873157927,5.757972432290962,-0.1228503508728799,3,2012-01-04,2020-04-01,2020-04-02,2020-07-01,previous_trade,0.7073689336233149
