repeat,pair,classifier_group,tau,equivalent_tau_paths,cumulative_return,annualized_return,sharpe,calmar,max_drawdown,stronger_model,stronger_sharpe,delta_sharpe
14,ppo_tqc,3,0.17,1,0.5141079822199996,0.6569957000300644,1.9434438358525596,3.597892928489506,-0.18260568424027257,tqc,1.9048412229989393,0.03860261285362032
15,ppo_tqc,3,0.17,75,0.4919454667399996,0.627516234852062,1.84136815495714,3.2958240348246646,-0.19039737201426332,tqc,1.9048412229989393,-0.06347306804179942
16,ppo_tqc,3,0.17,1,0.4865154091399997,0.6203078991394857,1.8280261135389484,3.257964606218495,-0.19039737201426332,tqc,1.9048412229989393,-0.07681510945999093
17,ppo_tqc,3,0.17,1,0.4865154091399997,0.6203078991394857,1.8280261135389484,3.257964606218495,-0.19039737201426332,tqc,1.9048412229989393,-0.07681510945999093
18,ppo_tqc,3,0.17,4,0.4919454667399996,0.627516234852062,1.84136815495714,3.2958240348246646,-0.19039737201426332,tqc,1.9048412229989393,-0.06347306804179942
19,ppo_tqc,3,0.17,1,0.5060419204199997,0.646255697818122,1.8905225477689052,3.3942469424930337,-0.19039737201426332,tqc,1.9048412229989393,-0.014318675230034161
20,ppo_tqc,3,0.17,1,0.5060419204199997,0.646255697818122,1.8905225477689052,3.3942469424930337,-0.19039737201426332,tqc,1.9048412229989393,-0.014318675230034161
21,ppo_tqc,3,0.17,18,0.4919454667399996,0.627516234852062,1.84136815495714,3.2958240348246646,-0.19039737201426332,tqc,1.9048412229989393,-0.06347306804179942
22,ppo_tqc,3,0.17,75,0.4919454667399996,0.627516234852062,1.84136815495714,3.2958240348246646,-0.19039737201426332,tqc,1.9048412229989393,-0.06347306804179942
23,ppo_tqc,3,0.17,1,0.5060419204199997,0.646255697818122,1.8905225477689052,3.3942469424930337,-0.19039737201426332,tqc,1.9048412229989393,-0.014318675230034161
24,ppo_tqc,3,0.17,1,0.4901833286999995,0.6251763918058633,1.8390644935756841,3.2835347735736033,-0.19039737201426332,tqc,1.9048412229989393,-0.06577672942325519
25,ppo_tqc,3,0.17,1,0.5060419204199997,0.646255697818122,1.8905225477689052,3.3942469424930337,-0.19039737201426332,tqc,1.9048412229989393,-0.014318675230034161
26,ppo_tqc,3,0.17,1,0.5141079822199996,0.6569957000300644,1.9434438358525596,3.597892928489506,-0.18260568424027257,tqc,1.9048412229989393,0.03860261285362032
27,ppo_tqc,3,0.17,1,0.4901833286999995,0.6251763918058633,1.8390644935756841,3.2835347735736033,-0.19039737201426332,tqc,1.9048412229989393,-0.06577672942325519
28,ppo_tqc,3,0.17,1,0.5068533237699997,0.6473355210102885,1.9246610394663486,3.502721513666672,-0.18480930284767438,tqc,1.9048412229989393,0.019819816467409268
29,ppo_tqc,3,0.17,1,0.5060419204199997,0.646255697818122,1.8905225477689052,3.3942469424930337,-0.19039737201426332,tqc,1.9048412229989393,-0.014318675230034161
